ウォーターパーク,142856,1
スイーツキャニオン,155397,1
マリオサーキット,149486,1
プクプクビーチ,151253,1
ヨッシーバレー,205866,1
ミュートシティ,155914,1
ワリオこうざん,204867,1
キノピオサーキット,125587,1
トーキョースクランブル,128611,1
ドッスンいせき,155141,2
エレクトロドリーム,201966,2
モーモーカントリー,128330,2
GBAマリオサーキット,128952,2
キノピオハイウェイ,148710,2
カラカラさばく,203699,2
サンシャインくうこう,202428,2
パックンスライダー,206165,2
N64レインボーロード,121987,2
SFCレインボーロード,129930,2
ハイラルサーキット,152035,2
チーズランド,151064,2
ネイチャーロード,150798,2
どうぶつの森,144579,2
リンリンメトロ,146740,2
チョコレートマウンテン,155662,2
N64カラカラさばく,134670,2
マリオカートスタジアム,140859,3
ねじれマンション,200156,3
スカイガーデン,202812,3
ホネホネさばく,153300,3
クッパキャッスル,203783,3
レインボーロード,202487,3
DKジャングル,204896,3
シャーベットランド,151856,3
ヨッシーサーキット,147929,3
ドラゴンロード,147085,3
ネオクッパシティ,148969,3
リボンロード,151903,3
パリプロムナード,153301,3
キノコリッジウェイ,149425,3
ビッグブルー,126816,3
GBAスノーランド,138046,3
ニューヨークドリーム,126280,3
ヘイホーこうざん,200717,4
ドルフィンみさき,159058,4
ドーナツへいや,120105,4
ピーチサーキット,200992,4
ワリオスタジアム,154663,4
グラグラかざん,158121,4
エキサイトバイク,147496,4
ツルツルツイスター,149345,4
ココナッツモール,146893,4
GBAスカイガーデン,131404,4
ニンニンドージョー,156456,4
シドニーサンシャイン,204917,4
キノコキャニオン,128908,4
ワルイージピンボール,222492,4
アイスビルディング,157967,4
キノピオハーバー,207128,5
ワリオスノーマウンテン,145316,5
ミュージックパーク,155307,5
チクタクロック,146286,5
テストコースくん,159069,5
テストコースさん,158001,5
